,Tweets,label
1,"O Allah, remove all arrogance and selfishness from our hearts and teach us to be humble, and always remember You in everything that we do.",religious
2,Allah Has Planned It Beautifully. So Wait Patiently.,religious
3,"We strive to make sure people have something to eat. Of course, it's all possible with your generous contributions. Thank you. Help us continue. Donate Today. - Zenith/1212 373 076 - ",religious
4,The moment you share something online. You have no control over it spreading again. Don't share anything that can put your Ahkirah in Danger.,religious
5,"If it's stopping you from getting closer to Allah, then you need to let it go.",religious
6,"Recite Qur'an and establish prayer. Indeed, ˹genuine˺ prayer should deter ˹one˺ from indecency and wickedness. The remembrance of Allah is ˹an˺ even greater ˹deterrent˺. And Allah ˹fully˺ knows what you ˹all˺ do.- Surah 29. Al-Ankabut, Ayah 45.",religious
7,"”We will certainly test you with a touch of fear and famine and loss of property, life, and crops. Give good news to those who patiently endure. Those, when faced with a disaster, say, “Surely to Allah we belong and to Him we will ˹all˺ return.” - Quran (2:155-156)",religious
8,May Allah bless you With endless Happiness.,religious
9,Ma shaa Allah ...can you answer these questions?,religious
10,I pray Ramadan heals all of us and brings us closer to Allah. Aameen,religious
11,"May Allah accept our Dua, fast, worship, and forgive us all.",religious
12,"O, Allah. Make the Qur'an guidance, a light, and mercy to us. O Allah, remind us of what we’ve forgotten from it and allow us to learn what we didn’t know from it.",religious
13,"Remember your reward: Jannah. Jannah is not cheap, it doesn't come easily.we need to work hard & fight our Nafs and Satan.",religious
14,"It takes small steps for big changes. just starts it, then pray hard and ask Allah to guide you. He's the ultimate helper.",religious
15,You woke them up for school but you did not wake them up fajr! You want them to succeed in Duniya But you don't want them to succeed in the Akhirah!.,religious
16,"Allah has perfect timing for everything. Learn to wait on Him. This brings Him honour, and it brings you peace.",religious
17,"Oh Allah, we ask You to grant tranquility in our hearts and in the hearts of those we are unable to help and who are suffering silently.",religious
18,"When you do good and nobody notices, don't worry and get disheartened. Allah knows and that's all that matters. So take heart.",religious
19,15 days Left Until Ramadan!Share hope this  by feeding the indigents and vulnerable families with .Donate today to multiply your blessings during the holy month -  ,religious
20,"Talk to Allah. Tell Him how you feel, why you feel the way you feel. Show Him how needy you are of Him. Beg Him. Cry to Him.",religious
21,Make Jummah a day for earning instant rewards by giving weekly automated sadaqah. ,religious
22,THINGS WE CAN DO TO GET INTO THE RAMADAN SPIRIT:Make up days of fastingStart reading the QuranAsk forgiveness from Allah Make a list of Ramadan goalsMake a list of special Duas,religious
23,"It's Friday, the Best Day of the Week. Be sure to attend Jumu’ah, recite Surat Al-kahf, and pray with loved ones today. May Allah accept all our acts of worship, Grant us success in this life and the hereafter. Ameen",religious
24,"Whatever position you have in life, be humble. Don’t compare yourself to others. It’s Allah who raises you, not the people around you!",religious
25,"O Allah, we ask You for the Paradise and for that which brings one closer to it, in word and deed, and we seek refuge in You from Hell and from that which brings one closer to it, in word and deed. And we ask You to make every decree that You decree concerning us good.",religious
26,"Fight shaytan, fight your nafs, don't let anything bring you down, Allah is with you.",religious
27,“Allah does not burden a soul beyond that it can bear.” -Al Qur’aan | 2:286,religious
28,No person can hold you back when Allah has decided to raise you up.,religious
29,"With Ramadan around the corner, many of our less fortunate brothers and sisters will have nothing to break their fast with. Together we can change that, and ensure they have enough for iftar and suhur.Link ➤ ",religious
30,Sometimes the people you're trying hard to help end up being the first to blame you when something goes wrong. Don't lose focus. Stay strong.,religious
31,There are 2 roads you can take: “Remember me and I will remember you.” -Qur’aan 2:152 “They forget Allah so he forgets them.” -Qur’aan 9:67,religious
32,"Make a lot of Du’a , the Du’a of a fasting person is never rejected.",religious
33,"As the countdown continues we have approximately 37 DAYS UNTIL RAMADAN, the month of fasting and forgiveness! Let us make the effort to prepare for the blessed month through regular fasting and charity. Make a donation TODAY: ",religious
34,"Oh, Allah! Let's witness the month of Ramadan!",religious
35,Allah give us hope when we feel there's none and HE shows us purpose when we feel meaningless. He has power over all things.,religious
36,When you have nothing left except Allah then you will find that Allah is always enough for you.,religious
37,"Feeding the hungry, giving food to the needy, and helping people with their needs are all good deeds that can earn us a place in Paradise.",religious
38,Remember that Allah never leaves any Dua of ours unanswered. He just answers it in different ways- the ways He knows are best for us!,religious
39,It's better to sleep early to have enough sleep & do Dhikr/recitation of the Quran after Fajr than go back to sleep immediately after Fajr.,religious
40,"Allah has a purpose for your pain, a reason for your struggles and a reward for your faithfulness. Don't give up.",religious
41,5 steps for success:- Fajr- Dhuhr- Asr- Maghrib- Isha,religious
42,Jummah giving ▸ ,religious
43,"Not everyone likes you, but not everyone matters. As long as Allah loves you nothing else matters.",religious
44,There's always some reason to be positive. Don't let a little negativity stop you from seeing all the good that's around.,religious
45,"Allah is never late, we’re just impatient.",religious
46,We often deceive ourselves into thinking we are greater than others and our acts of worship hold more weight. Don't! Avoid self-praise.,religious
47,"When Allah asks you to give something up, He is never trying to take something away; He's trying to get something better to you.",religious
48,"75 Daysuntil RamadanOh Allah, let us reach Ramadan. || اللهمَّ بلِّغْنا رَمَضَان",religious
49,You fed them when they were hungry and provided them with hope when they were on the brink of despair. Your efforts will touch the lives of many this Ramadan Donate ➤ ,religious
50,Everything happens for a reason. There's a blessing hidden behind every complication. Have faith in Allah.,religious
51,"May your day be filled with good thoughts, kind people, and happy moments.",religious
52,"Don’t judge anyone! You know about their sin, but not about their repentance!",religious
53,A verse of the Qur'an was recited at the World Cup's opening ceremony in Qatar,religious
54,There's no need to envy your friend. Each one of us has something which nobody else does. Work on that something. Make the most of it.,religious
55,"''And when they are told, ""Do not spread corruption on earth,"" they answer, ""We are but improving things!"" Indeed, it is they who are the corruptors, but they fail to perceive it."" Quran [2:11]",religious
56,Never stop making Dua.Allah can change everything in a blink.,religious
57,May Allah relieve all those who are suffering or going through hardship and reward them abundantly for their patience. Ameen.,religious
58,"When we repair our relationship with Allah, He repairs everything else for us.",religious
59,"Al Masjid an Nabawi, Medina ",religious
60,Being positive doesn't mean you choose to ignore life's problems. It means you think good about Allah and trust that He will make a way out for you if you do your best.,religious
61,They will never forget the help you provided them with during the most challenging time of their lives. You are forever in their prayers; may Allah reward you abundantly. Thank you . Help us continue. Donate Today.: ,religious
62,"When nobody understands the way you feel, remember Allah will make it heal. So turn to Him and fulfill your part of the deal.",religious
63,"Leave it all in Allah's hands. If it's good for you, it will come to you.",religious
64,"Ya Allah, accept every little Du’a we make in this month of Ramadan.",religious
65,Allahumma Baarik ,religious
66,"Ya Allah, give me sabr during every hardship and forgive me for the wrong I've done.",religious
67,"Allah is the Wisest. Whatever we face, it’s crucial that we always remember that He knows what’s best for us. Though we shy away from facing our worries & fears, it may be that we hate a thing that’s good for us & desires something that can only lead to our destruction.",religious
68,"Love your mother, the most beautiful person on this earth. Our best critic, yet our strongest supporter.",religious
69,"Never lose hope and patience when doing good, and don't expect return of favors from anyone other than Allah.",religious
70,"Allah has perfect timing; never early, never late. It takes a little patience and faith, but it's worth the wait.",religious
71,"As the countdown continues we have approximately 39 DAYS UNTIL RAMADAN, the month of fasting and forgiveness! Let us make the effort to prepare for the blessed month through regular fasting and charity. Make a donation TODAY: ",religious
72,"Be mindful of your old habits. Don’t go back to them. Remember, toxic behaviour and negative energy have a way of creeping back into your life when you’re doing better. Make a conscious effort to boot them out once and for all. Be firm. Be focused.",religious
73,"Seeing your duas get answered is a top tier feeling, Alhamdulillah",religious
74,"Those who have accepted the true faith and do good deeds shall be admitted among the righteous.- Surah 29. Al-Ankabut, Ayah 9",religious
75,Wrong is wrong even if everyone is doing it. Right is right even if you are the ONLY one doing it.,religious
76,"Let's care, share, Du’a & Action.  ",religious
77,May Allah bless our parents for everything that they do for us.,religious
78,"O Allah, Set right for us our lives in this world in which we live in. Set right for us our hereafter to which is our return, and make the life for us an increase in every good, and make death comfort for us from every evil.",religious
79,You know your life would be more meaningful and blissful when you start to turn and believe in Allah for every action you take.,religious
80,"Even when you've had a bad day, never treat others badly. Show them your better side. Trust that Allah will ease things for you.",religious
81,The biggest heartbreak is breaking your connection with Allāh (ﷻ) everything else is secondary.,religious
82,"Ya Allah, Please make this blessed month A life-changing, Please take care of our health and Imaan ",religious
83,We spend so much time trying to impress others when that time could be spent getting closer to Allah.,religious
84,Remember there’s no problem that cannot be solved. Always seek guidance and strength from Allah who has the answer to all our problems!,religious
85,"Don't feel trapped by the situation you're in. Pain, loneliness, financial woes; turn to Allah. He has promised a way out. Trust Him.",religious
86,Help us feed fasting Muslims during Ramadan and bring smiles to the Ummah.Donate Today: ,religious
87,"May Allah bless you with what you are praying for, and if He doesn't, may He give you better.",religious
88,"O, Allah...! If You See Me Getting Farther Away From You Return Me to You in A Beautiful Way.",religious
89,Ya Allah. Forgive me for always asking You more than I thank You. It's easy to forget in this hectic world. Help me appreciate all I have.,religious
90,Don't ever let anyone complain to Allah about you.,religious
91,Fill your heart with Imaan and your heart will become the most peaceful place on Earth.,religious
92,"“O Allah! We have sought refuge in Your true path, we have come to Your blessing, we could not serve You and we ask Your forgiveness; do not turn us away from Your gate! Do not deprive us of Your blessing!”",religious
93,"As the countdown continues we have approximately 23 DAYS UNTIL RAMADAN, the month of forgiveness and blessings! Let us make the effort to prepare for the blessed month through regular fasting and charity. Make a donation TODAY via: ",religious
